time,frequency,confidence
0.0,547.125672671627,0.14131743
0.01,547.125672671627,0.14131743
0.02,547.125672671627,0.14131743
0.03,547.125672671627,0.14131743
0.04,547.125672671627,0.14131743
0.05,547.125672671627,0.14131743
0.06,547.125672671627,0.14131743
0.07,547.125672671627,0.14131743
0.08,547.125672671627,0.14131743
0.09,547.125672671627,0.14131743
0.1,547.125672671627,0.14131743
0.11,547.125672671627,0.14131743
0.12,547.125672671627,0.14131743
0.13,547.125672671627,0.14131743
0.14,547.125672671627,0.14131743
0.15,547.125672671627,0.14131743
0.16,547.125672671627,0.14131743
0.17,547.125672671627,0.14131743
0.18,547.125672671627,0.14131743
0.19,547.125672671627,0.14131743
0.2,547.125672671627,0.14131743
0.21,547.125672671627,0.14131743
0.22,547.125672671627,0.14131743
0.23,547.125672671627,0.14131743
0.24,547.125672671627,0.14131743
0.25,547.125672671627,0.14131743
0.26,547.125672671627,0.14131743
0.27,547.125672671627,0.14131743
0.28,547.125672671627,0.14131743
0.29,547.125672671627,0.14131743
0.3,547.125672671627,0.14131743
0.31,547.125672671627,0.14131743
0.32,547.125672671627,0.14131743
0.33,547.125672671627,0.14131743
0.34,547.125672671627,0.14131743
0.35,547.125672671627,0.14131743
0.36,547.125672671627,0.14131743
0.37,547.125672671627,0.14131743
0.38,547.125672671627,0.14131743
0.39,547.125672671627,0.14131743
0.4,547.125672671627,0.14131743
0.41,547.125672671627,0.14131743
0.42,547.125672671627,0.14131743
0.43,547.125672671627,0.14131743
0.44,547.125672671627,0.14131743
0.45,547.125672671627,0.14131743
0.46,547.125672671627,0.14131743
0.47,547.125672671627,0.14131743
0.48,547.125672671627,0.14131743
0.49,547.125672671627,0.14131743
0.5,547.125672671627,0.14131743
0.51,547.125672671627,0.14131743
0.52,547.125672671627,0.14131743
0.53,547.125672671627,0.14131743
0.54,547.125672671627,0.14131743
0.55,547.125672671627,0.14131743
0.56,547.125672671627,0.14131743
0.57,547.125672671627,0.14131743
0.58,547.125672671627,0.14131743
0.59,547.125672671627,0.14131743
0.6,547.125672671627,0.14131743
0.61,547.125672671627,0.14131743
0.62,547.125672671627,0.14131743
0.63,547.125672671627,0.14131743
0.64,547.125672671627,0.14131743
0.65,547.125672671627,0.14131743
0.66,547.125672671627,0.14131743
0.67,547.125672671627,0.14131743
0.68,547.125672671627,0.14131743
0.69,547.125672671627,0.14131743
0.7,547.125672671627,0.14131743
0.71,547.125672671627,0.14131743
0.72,547.125672671627,0.14131743
0.73,547.125672671627,0.14131743
0.74,547.125672671627,0.14131743
0.75,547.125672671627,0.14131743
0.76,547.125672671627,0.14131743
0.77,547.125672671627,0.14131743
0.78,547.125672671627,0.14131743
0.79,547.125672671627,0.14131743
0.8,547.125672671627,0.14131743
0.81,547.125672671627,0.14131743
0.82,547.125672671627,0.14131743
0.83,547.125672671627,0.14131743
0.84,547.125672671627,0.14131743
0.85,547.125672671627,0.14131743
0.86,547.125672671627,0.14131743
0.87,547.125672671627,0.14131743
0.88,547.125672671627,0.14131743
0.89,547.125672671627,0.14131743
0.9,547.125672671627,0.14131743
0.91,547.125672671627,0.14131743
0.92,547.125672671627,0.14131743
0.93,547.125672671627,0.14131743
0.94,547.125672671627,0.14131743
0.95,547.125672671627,0.14131743
0.96,547.125672671627,0.14131743
0.97,547.125672671627,0.14131743
0.98,547.125672671627,0.14131743
0.99,547.125672671627,0.14131743
1.0,547.125672671627,0.14131743
1.01,547.125672671627,0.14131743
1.02,547.125672671627,0.14131743
1.03,547.125672671627,0.14131743
1.04,547.125672671627,0.14131743
1.05,547.125672671627,0.14131743
1.06,547.125672671627,0.14131743
1.07,547.125672671627,0.14131743
1.08,547.125672671627,0.14131743
1.09,547.125672671627,0.14131743
1.1,547.125672671627,0.14131743
1.11,547.125672671627,0.14131743
1.12,547.125672671627,0.14131743
1.13,547.125672671627,0.14131743
1.14,547.125672671627,0.14131743
1.15,547.125672671627,0.14131743
1.16,547.125672671627,0.14131743
1.17,547.125672671627,0.14131743
1.18,547.125672671627,0.14131743
1.19,547.125672671627,0.14131743
1.2,547.125672671627,0.14131743
1.21,547.125672671627,0.14131743
1.22,547.125672671627,0.14131743
1.23,547.125672671627,0.14131743
1.24,547.125672671627,0.14131743
1.25,547.125672671627,0.14131743
1.26,547.125672671627,0.14131743
1.27,547.125672671627,0.14131743
1.28,547.125672671627,0.14131743
1.29,547.125672671627,0.14131743
1.3,547.125672671627,0.14131743
1.31,547.125672671627,0.14131743
1.32,547.125672671627,0.14131743
1.33,547.125672671627,0.14131743
1.34,547.125672671627,0.14131743
1.35,547.125672671627,0.14131743
1.36,547.125672671627,0.14131743
1.37,547.125672671627,0.14131743
1.38,547.125672671627,0.14131743
1.39,547.125672671627,0.14131743
1.4,547.125672671627,0.14131743
1.41,547.125672671627,0.14131743
1.42,547.125672671627,0.14131743
1.43,547.125672671627,0.14131743
1.44,547.125672671627,0.14131743
1.45,547.125672671627,0.14131743
1.46,547.125672671627,0.14131743
1.47,547.125672671627,0.14131743
1.48,547.125672671627,0.14131743
1.49,547.125672671627,0.14131743
1.5,547.125672671627,0.14131743
1.51,547.125672671627,0.14131743
1.52,547.125672671627,0.14131743
1.53,547.125672671627,0.14131743
1.54,547.125672671627,0.14131743
1.55,547.125672671627,0.14131743
1.56,547.125672671627,0.14131743
1.57,547.125672671627,0.14131743
1.58,547.125672671627,0.14131743
1.59,547.125672671627,0.14131743
1.6,547.125672671627,0.14131743
1.61,547.125672671627,0.14131743
1.62,547.125672671627,0.14131743
1.63,547.125672671627,0.14131743
1.64,547.125672671627,0.14131743
1.65,547.125672671627,0.14131743
1.66,547.125672671627,0.14131743
1.67,547.125672671627,0.14131743
1.68,547.125672671627,0.14131743
1.69,547.125672671627,0.14131743
1.7,547.125672671627,0.14131743
1.71,547.125672671627,0.14131743
1.72,547.125672671627,0.14131743
1.73,547.125672671627,0.14131743
1.74,547.125672671627,0.14131743
1.75,547.125672671627,0.14131743
1.76,547.125672671627,0.14131743
1.77,547.125672671627,0.14131743
1.78,547.125672671627,0.14131743
1.79,547.125672671627,0.14131743
1.8,547.125672671627,0.14131743
1.81,547.125672671627,0.14131743
1.82,547.125672671627,0.14131743
1.83,547.125672671627,0.14131743
1.84,547.125672671627,0.14131743
1.85,547.125672671627,0.14131743
1.86,547.125672671627,0.14131743
1.87,547.125672671627,0.14131743
1.88,547.125672671627,0.14131743
1.89,547.125672671627,0.14131743
1.9,547.125672671627,0.14131743
1.91,547.125672671627,0.14131743
1.92,547.125672671627,0.14131743
1.93,547.125672671627,0.14131743
1.94,547.125672671627,0.14131743
1.95,547.125672671627,0.14131743
1.96,547.125672671627,0.14131743
1.97,547.125672671627,0.14131743
1.98,547.125672671627,0.14131743
1.99,547.125672671627,0.14131743
2.0,547.125672671627,0.14131743
2.01,547.125672671627,0.14131743
2.02,547.125672671627,0.14131743
2.03,547.125672671627,0.14131743
2.04,547.125672671627,0.14131743
2.05,547.125672671627,0.14131743
2.06,547.125672671627,0.14131743
2.07,547.125672671627,0.14131743
2.08,547.125672671627,0.14131743
2.09,547.125672671627,0.14131743
2.1,547.125672671627,0.14131743
2.11,547.125672671627,0.14131743
2.12,547.125672671627,0.14131743
2.13,547.125672671627,0.14131743
2.14,547.125672671627,0.14131743
2.15,547.125672671627,0.14131743
2.16,547.125672671627,0.14131743
2.17,547.125672671627,0.14131743
2.18,547.125672671627,0.14131743
2.19,547.125672671627,0.14131743
2.2,547.125672671627,0.14131743
2.21,547.125672671627,0.14131743
2.22,547.125672671627,0.14131743
2.23,547.125672671627,0.14131743
2.24,547.125672671627,0.14131743
2.25,547.125672671627,0.14131743
2.26,547.125672671627,0.14131743
2.27,547.125672671627,0.14131743
2.28,547.125672671627,0.14131743
2.29,547.125672671627,0.14131743
2.3,547.125672671627,0.14131743
2.31,547.125672671627,0.14131743
2.32,547.125672671627,0.14131743
2.33,547.125672671627,0.14131743
2.34,547.125672671627,0.14131743
2.35,547.125672671627,0.14131743
2.36,547.125672671627,0.14131743
2.37,547.125672671627,0.14131743
2.38,547.125672671627,0.14131743
2.39,547.125672671627,0.14131743
2.4,547.125672671627,0.14131743
2.41,547.125672671627,0.14131743
2.42,547.125672671627,0.14131743
2.43,547.125672671627,0.14131743
2.44,547.125672671627,0.14131743
2.45,547.125672671627,0.14131743
2.46,547.125672671627,0.14131743
2.47,547.125672671627,0.14131743
2.48,547.125672671627,0.14131743
2.49,547.125672671627,0.14131743
2.5,547.125672671627,0.14131743
2.51,547.125672671627,0.14131743
2.52,547.125672671627,0.14131743
2.53,547.125672671627,0.14131743
2.54,547.125672671627,0.14131743
2.55,547.125672671627,0.14131743
2.56,547.125672671627,0.14131743
2.57,547.125672671627,0.14131743
2.58,547.125672671627,0.14131743
2.59,547.125672671627,0.14131743
2.6,547.125672671627,0.14131743
2.61,547.125672671627,0.14131743
2.62,547.125672671627,0.14131743
2.63,547.125672671627,0.14131743
2.64,547.125672671627,0.14131743
2.65,547.125672671627,0.14131743
2.66,547.125672671627,0.14131743
2.67,547.125672671627,0.14131743
2.68,547.125672671627,0.14131743
2.69,547.125672671627,0.14131743
2.7,547.125672671627,0.14131743
2.71,547.125672671627,0.14131743
2.72,547.125672671627,0.14131743
2.73,547.125672671627,0.14131743
2.74,547.125672671627,0.14131743
2.75,547.125672671627,0.14131743
2.76,547.125672671627,0.14131743
2.77,547.125672671627,0.14131743
2.78,547.125672671627,0.14131743
2.79,547.125672671627,0.14131743
2.8,547.125672671627,0.14131743
2.81,547.125672671627,0.14131743
2.82,547.125672671627,0.14131743
2.83,547.125672671627,0.14131743
2.84,547.125672671627,0.14131743
2.85,547.125672671627,0.14131743
2.86,547.125672671627,0.14131743
2.87,547.125672671627,0.14131743
2.88,547.125672671627,0.14131743
2.89,547.125672671627,0.14131743
2.9,547.125672671627,0.14131743
2.91,547.125672671627,0.14131743
2.92,547.125672671627,0.14131743
2.93,547.125672671627,0.14131743
2.94,547.125672671627,0.14131743
2.95,547.125672671627,0.14131743
2.96,547.125672671627,0.14131743
2.97,547.125672671627,0.14131743
2.98,547.125672671627,0.14131743
2.99,547.125672671627,0.14131743
3.0,547.125672671627,0.14131743
3.01,547.125672671627,0.14131743
3.02,547.125672671627,0.14131743
3.03,547.125672671627,0.14131743
3.04,547.125672671627,0.14131743
3.05,547.125672671627,0.14131743
3.06,547.125672671627,0.14131743
3.07,547.125672671627,0.14131743
3.08,547.125672671627,0.14131743
3.09,547.125672671627,0.14131743
3.1,547.125672671627,0.14131743
3.11,547.125672671627,0.14131743
3.12,547.125672671627,0.14131743
3.13,547.125672671627,0.14131743
3.14,547.125672671627,0.14131743
3.15,547.125672671627,0.14131743
3.16,547.125672671627,0.14131743
3.17,547.125672671627,0.14131743
3.18,547.125672671627,0.14131743
3.19,547.125672671627,0.14131743
3.2,547.125672671627,0.14131743
3.21,547.125672671627,0.14131743
3.22,547.125672671627,0.14131743
3.23,547.125672671627,0.14131743
3.24,547.125672671627,0.14131743
3.25,547.125672671627,0.14131743
3.26,547.125672671627,0.14131743
3.27,547.125672671627,0.14131743
3.28,547.125672671627,0.14131743
3.29,547.125672671627,0.14131743
3.3,547.125672671627,0.14131743
3.31,547.125672671627,0.14131743
3.32,547.125672671627,0.14131743
3.33,547.125672671627,0.14131743
3.34,547.125672671627,0.14131743
3.35,547.125672671627,0.14131743
3.36,547.125672671627,0.14131743
3.37,547.125672671627,0.14131743
3.38,547.125672671627,0.14131743
3.39,547.125672671627,0.14131743
3.4,547.125672671627,0.14131743
3.41,547.125672671627,0.14131743
3.42,547.125672671627,0.14131743
3.43,547.125672671627,0.14131743
3.44,547.125672671627,0.14131743
3.45,547.125672671627,0.14131743
3.46,547.125672671627,0.14131743
3.47,547.125672671627,0.14131743
3.48,547.125672671627,0.14131743
3.49,547.125672671627,0.14131743
3.5,547.125672671627,0.14131743
3.51,547.125672671627,0.14131743
3.52,547.125672671627,0.14131743
3.53,547.125672671627,0.14131743
3.54,547.125672671627,0.14131743
3.55,547.125672671627,0.14131743
3.56,547.125672671627,0.14131743
3.57,547.125672671627,0.14131743
3.58,547.125672671627,0.14131743
3.59,547.125672671627,0.14131743
3.6,547.125672671627,0.14131743
3.61,547.125672671627,0.14131743
3.62,547.125672671627,0.14131743
3.63,547.125672671627,0.14131743
3.64,547.125672671627,0.14131743
3.65,547.125672671627,0.14131743
3.66,547.125672671627,0.14131743
3.67,547.125672671627,0.14131743
3.68,547.125672671627,0.14131743
3.69,547.125672671627,0.14131743
3.7,547.125672671627,0.14131743
3.71,547.125672671627,0.14131743
3.72,547.125672671627,0.14131743
3.73,547.125672671627,0.14131743
3.74,547.125672671627,0.14131743
3.75,547.125672671627,0.14131743
3.76,547.125672671627,0.14131743
3.77,547.125672671627,0.14131743
3.78,547.125672671627,0.14131743
3.79,547.125672671627,0.14131743
3.8,547.125672671627,0.14131743
3.81,547.125672671627,0.14131743
3.82,547.125672671627,0.14131743
3.83,547.125672671627,0.14131743
3.84,547.125672671627,0.14131743
3.85,547.125672671627,0.14131743
3.86,547.125672671627,0.14131743
3.87,547.125672671627,0.14131743
3.88,547.125672671627,0.14131743
3.89,547.125672671627,0.14131743
3.9,547.125672671627,0.14131743
3.91,547.125672671627,0.14131743
3.92,547.125672671627,0.14131743
3.93,547.125672671627,0.14131743
3.94,547.125672671627,0.14131743
3.95,547.125672671627,0.14131743
3.96,547.125672671627,0.14131743
3.97,547.125672671627,0.14131743
3.98,547.125672671627,0.14131743
3.99,547.125672671627,0.14131743
4.0,547.125672671627,0.14131743
4.01,547.125672671627,0.14131743
4.02,547.125672671627,0.14131743
4.03,547.125672671627,0.14131743
4.04,547.125672671627,0.14131743
4.05,547.125672671627,0.14131743
4.06,547.125672671627,0.14131743
4.07,547.125672671627,0.14131743
4.08,547.125672671627,0.14131743
4.09,547.125672671627,0.14131743
4.1,547.125672671627,0.14131743
4.11,547.125672671627,0.14131743
4.12,547.125672671627,0.14131743
4.13,547.125672671627,0.14131743
4.14,547.125672671627,0.14131743
4.15,547.125672671627,0.14131743
4.16,547.125672671627,0.14131743
4.17,547.125672671627,0.14131743
4.18,547.125672671627,0.14131743
4.19,547.125672671627,0.14131743
4.2,547.125672671627,0.14131743
4.21,547.125672671627,0.14131743
4.22,547.125672671627,0.14131743
4.23,547.125672671627,0.14131743
4.24,547.125672671627,0.14131743
4.25,547.125672671627,0.14131743
4.26,547.125672671627,0.14131743
4.27,547.125672671627,0.14131743
4.28,547.125672671627,0.14131743
4.29,547.125672671627,0.14131743
4.3,547.125672671627,0.14131743
4.31,547.125672671627,0.14131743
4.32,547.125672671627,0.14131743
4.33,547.125672671627,0.14131743
4.34,547.125672671627,0.14131743
4.35,547.125672671627,0.14131743
4.36,547.125672671627,0.14131743
4.37,547.125672671627,0.14131743
4.38,547.125672671627,0.14131743
4.39,547.125672671627,0.14131743
4.4,547.125672671627,0.14131743
4.41,537.745663300577,0.10690939
4.42,507.96797373352376,0.28370908
4.43,493.0803750650872,0.2548721
4.44,476.912498709182,0.16815436
4.45,458.91180764179023,0.35865703
4.46,448.8529350566607,0.770815
4.47,435.2709387396245,0.78629255
4.48,415.76078679328737,0.7421169
4.49,406.1216197618951,0.6668594
4.5,381.84676159643976,0.72585547
4.51,358.03765685935923,0.7369732
4.52,336.2222738734385,0.6760316
4.53,331.03302492733644,0.22672889
4.54,332.6339874811339,0.32548088
4.55,333.74727991479153,0.18616658
4.56,330.8368247506803,0.13457145
4.57,330.445553174388,0.12145505
4.58,319.4868498523461,0.14131743
4.59,310.57621872237456,0.14131743
4.6,294.4884999621636,0.29852247
4.61,294.5795298763526,0.112667195
4.62,292.1147482887094,0.32265732
4.63,289.2126299606323,0.25936183
4.64,301.2600547444247,0.20001157
4.65,304.0902506724632,0.19689596
4.66,311.2454070219801,0.6579189
4.67,323.9541753252736,0.82297444
4.68,339.7978581623579,0.82543004
4.69,345.07596263383783,0.86216503
4.7,341.4791839803334,0.7204032
4.71,345.5629123565524,0.60595363
4.72,367.5370685999111,0.6334397
4.73,375.8179834547075,0.36478433
4.74,382.0220089765048,0.29578507
4.75,389.49857550390897,0.36209264
4.76,387.63006259058614,0.30747885
4.77,384.2854776317699,0.38938245
4.78,428.23131012450676,0.25221682
4.79,487.7247642667736,0.28934985
4.8,542.1952696595117,0.0768722
4.81,547.125672671627,0.14131743
4.82,547.125672671627,0.14131743
4.83,547.125672671627,0.14131743
4.84,547.125672671627,0.14131743
4.85,547.125672671627,0.14131743
4.86,547.125672671627,0.14131743
4.87,547.125672671627,0.14131743
4.88,547.125672671627,0.14131743
4.89,547.125672671627,0.14131743
4.9,547.125672671627,0.14131743
4.91,547.125672671627,0.14131743
4.92,547.125672671627,0.14131743
4.93,547.125672671627,0.14131743
4.94,547.125672671627,0.14131743
4.95,547.125672671627,0.14131743
4.96,547.125672671627,0.14131743
4.97,547.125672671627,0.14131743
