time,frequency,confidence
0.0,547.125446257647,0.14131764
0.01,547.125446257647,0.14131764
0.02,547.125446257647,0.14131764
0.03,547.125446257647,0.14131764
0.04,547.125446257647,0.14131764
0.05,547.125446257647,0.14131764
0.06,547.125446257647,0.14131764
0.07,547.125446257647,0.14131764
0.08,547.125446257647,0.14131764
0.09,547.125446257647,0.14131764
0.1,547.125446257647,0.14131764
0.11,553.0556856216508,0.2892426
0.12,544.2532352962685,0.19546661
0.13,501.0220744092012,0.2436891
0.14,473.6716040191073,0.43955484
0.15,475.1258339765719,0.6839747
0.16,474.9121565317047,0.54394895
0.17,478.4826181869953,0.64810306
0.18,483.67425114081135,0.63241607
0.19,485.66427044120786,0.8188672
0.2,485.4295931673863,0.825591
0.21,484.5442954090935,0.58291566
0.22,482.8000013838953,0.38026
0.23,483.3651118057049,0.41596487
0.24,484.3180770657642,0.4093233
0.25,488.4331198870987,0.49025753
0.26,488.03060313664224,0.46942803
0.27,487.892520582115,0.52339077
0.28,488.44102027136876,0.3495689
0.29,489.37341037100174,0.2804315
0.3,487.40398970123294,0.48190156
0.31,489.19415125259854,0.5799986
0.32,487.3095588538337,0.37534627
0.33,485.93639255142995,0.3744997
0.34,484.67237584868485,0.3020272
0.35,483.4546517196545,0.48721927
0.36,483.2836385365161,0.45265558
0.37,481.49324013675164,0.09113312
0.38,480.025049422496,0.064105645
0.39,480.5345256498734,0.16538079
0.4,479.15158633972214,0.49788362
0.41,483.3489832574529,0.51306653
0.42,485.1750986268444,0.33416903
0.43,487.19108392450295,0.1812509
0.44,489.50805459151843,0.1190205
0.45,488.6803489294109,0.124789886
0.46,492.2171139886443,0.17095675
0.47,489.61664502579544,0.2399176
0.48,491.410489823474,0.1278457
0.49,543.8406766806002,0.12430899
0.5,547.125446257647,0.14131764
0.51,547.125446257647,0.14131764
0.52,547.125446257647,0.14131764
0.53,547.125446257647,0.14131764
0.54,547.125446257647,0.14131764
0.55,547.125446257647,0.14131764
0.56,547.125446257647,0.14131764
0.57,547.125446257647,0.14131764
0.58,547.125446257647,0.14131764
0.59,547.125446257647,0.14131764
0.6,547.125446257647,0.14131764
0.61,547.125446257647,0.14131764
0.62,547.125446257647,0.14131764
0.63,547.125446257647,0.14131764
0.64,547.125446257647,0.14131764
0.65,547.125446257647,0.14131764
0.66,547.125446257647,0.14131764
0.67,547.125446257647,0.14131764
0.68,547.125446257647,0.14131764
0.69,547.125446257647,0.14131764
0.7,547.125446257647,0.14131764
0.71,547.125446257647,0.14131764
0.72,547.125446257647,0.14131764
0.73,547.125446257647,0.14131764
0.74,547.125446257647,0.14131764
0.75,547.125446257647,0.14131764
0.76,547.125446257647,0.14131764
0.77,547.125446257647,0.14131764
0.78,547.125446257647,0.14131764
0.79,547.125446257647,0.14131764
0.8,547.125446257647,0.14131764
0.81,547.125446257647,0.14131764
0.82,547.125446257647,0.14131764
0.83,547.125446257647,0.14131764
0.84,547.125446257647,0.14131764
0.85,547.125446257647,0.14131764
0.86,547.125446257647,0.14131764
0.87,547.125446257647,0.14131764
0.88,547.125446257647,0.14131764
0.89,547.125446257647,0.14131764
0.9,547.125446257647,0.14131764
0.91,547.125446257647,0.14131764
0.92,547.125446257647,0.14131764
0.93,547.125446257647,0.14131764
0.94,547.125446257647,0.14131764
0.95,547.125446257647,0.14131764
0.96,547.125446257647,0.14131764
0.97,547.125446257647,0.14131764
0.98,547.125446257647,0.14131764
0.99,547.125446257647,0.14131764
1.0,547.125446257647,0.14131764
1.01,547.125446257647,0.14131764
1.02,547.125446257647,0.14131764
1.03,547.125446257647,0.14131764
1.04,547.125446257647,0.14131764
1.05,547.125446257647,0.14131764
1.06,547.125446257647,0.14131764
1.07,547.125446257647,0.14131764
1.08,547.125446257647,0.14131764
1.09,547.125446257647,0.14131764
1.1,547.125446257647,0.14131764
1.11,547.125446257647,0.14131764
1.12,547.125446257647,0.14131764
1.13,547.125446257647,0.14131764
1.14,547.125446257647,0.14131764
1.15,547.125446257647,0.14131764
1.16,547.125446257647,0.14131764
1.17,547.125446257647,0.14131764
1.18,547.125446257647,0.14131764
1.19,547.125446257647,0.14131764
1.2,547.125446257647,0.14131764
1.21,547.125446257647,0.14131764
1.22,547.125446257647,0.14131764
1.23,547.125446257647,0.14131764
1.24,547.125446257647,0.14131764
1.25,547.125446257647,0.14131764
1.26,547.125446257647,0.14131764
1.27,547.125446257647,0.14131764
1.28,547.125446257647,0.14131764
1.29,547.125446257647,0.14131764
1.3,547.125446257647,0.14131764
1.31,547.125446257647,0.14131764
1.32,547.125446257647,0.14131764
1.33,547.125446257647,0.14131764
1.34,547.125446257647,0.14131764
1.35,547.125446257647,0.14131764
1.36,547.125446257647,0.14131764
1.37,547.125446257647,0.14131764
1.38,547.125446257647,0.14131764
1.39,547.125446257647,0.14131764
1.4,547.125446257647,0.14131764
1.41,547.125446257647,0.14131764
1.42,547.125446257647,0.14131764
1.43,547.125446257647,0.14131764
1.44,547.125446257647,0.14131764
1.45,547.125446257647,0.14131764
1.46,547.125446257647,0.14131764
1.47,547.125446257647,0.14131764
1.48,547.125446257647,0.14131764
1.49,547.125446257647,0.14131764
1.5,547.125446257647,0.14131764
1.51,547.125446257647,0.14131764
1.52,547.125446257647,0.14131764
1.53,547.125446257647,0.14131764
1.54,547.125446257647,0.14131764
1.55,547.125446257647,0.14131764
1.56,547.125446257647,0.14131764
1.57,547.125446257647,0.14131764
1.58,547.125446257647,0.14131764
1.59,547.125446257647,0.14131764
1.6,547.125446257647,0.14131764
1.61,547.125446257647,0.14131764
1.62,547.125446257647,0.14131764
1.63,547.125446257647,0.14131764
1.64,547.125446257647,0.14131764
1.65,547.125446257647,0.14131764
1.66,547.125446257647,0.14131764
1.67,547.125446257647,0.14131764
1.68,547.125446257647,0.14131764
1.69,547.125446257647,0.14131764
1.7,547.125446257647,0.14131764
1.71,547.125446257647,0.14131764
1.72,547.125446257647,0.14131764
1.73,547.125446257647,0.14131764
1.74,547.125446257647,0.14131764
1.75,547.125446257647,0.14131764
1.76,547.125446257647,0.14131764
1.77,547.125446257647,0.14131764
1.78,547.125446257647,0.14131764
1.79,547.125446257647,0.14131764
1.8,547.125446257647,0.14131764
1.81,547.125446257647,0.14131764
1.82,547.125446257647,0.14131764
1.83,547.125446257647,0.14131764
1.84,547.125446257647,0.14131764
1.85,547.125446257647,0.14131764
